,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
630,1981-03-25,Pays-Bas,Rotterdam,Stade de Feyenoord,Pays-Bas,France,1,0,loss,Qualifications pour la Coupe du monde 1982
631,1982-11-10,Pays-Bas,Rotterdam,Stade de Feyenoord,Pays-Bas,France,1,2,win,Match amical
632,1992-06-05,France,Lens,Stade Félix-Bollaert,France,Pays-Bas,1,1,draw,Match amical
633,1995-01-10,Pays-Bas,Utrecht,Stadion Galgenwaard,Pays-Bas,France,0,1,win,Match amical
634,1996-06-22,Angleterre,Liverpool,Anfield,France,Pays-Bas,0,0,win,Euro 1996 (Quart de finale)
635,1997-02-26,France,Paris,Parc des Princes,France,Pays-Bas,2,1,win,Match amical
636,2000-06-21,Pays-Bas,Amsterdam,Amsterdam ArenA,Pays-Bas,France,3,2,loss,Euro 2000 (Groupe D)
637,2004-03-31,Pays-Bas,Rotterdam,Stade de Feyenoord,Pays-Bas,France,0,0,draw,Match amical
638,2008-06-13,Suisse,Berne,Stade de Suisse,Pays-Bas,France,4,1,loss,Euro 2008 (Groupe C)
639,2014-03-05,France,Saint-Denis,Stade de France,France,Pays-Bas,2,0,win,Match amical
640,2016-03-25,Pays-Bas,Amsterdam,Amsterdam ArenA,Pays-Bas,France,2,3,win,Match amical
641,2018-09-09,France,Saint-Denis,Stade de France,France,Pays-Bas,2,1,win,"Ligue des nations 2018-2019 (Ligue A, Groupe 1)"
642,2023-03-24,France,Saint-Denis,Stade de France,France,Pays-Bas,4,0,win,Qualifications pour l'Euro 2024
643,2023-10-13,Pays-Bas,Amsterdam,Johan Cruyff Arena,Pays-Bas,France,1,2,win,Qualifications pour l'Euro 2024
644,1933-05-25,France,Colombes,Stade olympique Yves-du-Manoir,France,Pays de Galles,1,1,draw,Match amical
645,1939-05-21,France,Colombes,Stade olympique Yves-du-Manoir,France,Pays de Galles,2,1,win,Match amical
646,1953-05-14,France,Colombes,Stade olympique Yves-du-Manoir,France,Pays de Galles,6,1,win,Match amical
647,1982-06-02,France,Toulouse,Stadium municipal de Toulouse,France,Pays de Galles,0,1,loss,Match amical
648,2017-11-10,France,Saint-Denis,Stade de France,France,Pays de Galles,2,0,win,Match amical
649,2021-06-02,France,Nice,Allianz Riviera,France,Pays de Galles,3,0,win,Match amical
650,1982-04-28,France,Paris,Parc des Princes,France,Pérou,0,1,loss,Match amical
651,2018-06-21,Russie,Iekaterinbourg,Stade central,France,Pérou,1,0,win,Coupe du monde 2018 (Groupe C)
652,1939-01-22,France,Paris,Parc des Princes,France,Pologne,4,0,win,Match amical
653,1960-09-28,Pologne,Varsovie,Stade du 10e anniversaire,Pologne,France,2,2,draw,Match amical
654,1962-04-11,France,Paris,Parc des Princes,France,Pologne,1,3,loss,Match amical
655,1966-10-22,France,Paris,Parc des Princes,France,Pologne,2,1,win,Qualifications pour l'Euro 1968
656,1967-09-17,Pologne,Varsovie,Stade du 10e anniversaire,Pologne,France,1,4,win,Qualifications pour l'Euro 1968
657,1974-09-07,Pologne,Wrocław,Stade olympique,Pologne,France,0,2,win,Match amical
658,1976-04-24,France,Lens,Stade Félix-Bollaert,France,Pologne,2,0,win,Match amical
659,1982-07-10,Espagne,Alicante,Stade José Rico Pérez,Pologne,France,3,2,loss,Coupe du monde 1982 (Petite finale)
660,1982-08-31,France,Paris,Parc des Princes,France,Pologne,0,4,loss,Match amical
661,1990-08-15,France,Paris,Parc des Princes,France,Pologne,0,0,draw,Match amical
662,1991-08-14,Pologne,Poznań,Stade municipal de Poznań,Pologne,France,1,5,win,Match amical
663,1994-11-06,Pologne,Zabrze,Stade Ernest-Pohl,Pologne,France,0,0,draw,Qualifications pour l'Euro 1996
664,1995-08-16,France,Paris,Parc des Princes,France,Pologne,1,1,draw,Qualifications pour l'Euro 1996
665,2000-02-23,France,Saint-Denis,Stade de France,France,Pologne,1,0,win,Match amical
666,2004-11-17,France,Saint-Denis,Stade de France,France,Pologne,0,0,draw,Match amical
667,2011-06-09,Pologne,Varsovie,Stade du maréchal Józef Piłsudski,Pologne,France,0,1,win,Match amical
668,2022-12-04,Qatar,Doha,Stade Al-Thumama,France,Pologne,3,1,win,Coupe du monde 2022 (Huitième de finale)
669,1926-04-18,France,Toulouse,Stade des Ponts Jumeaux,France,Portugal,4,2,win,Match amical
670,1927-03-16,Portugal,Lisbonne,Estádio do Lumiar,Portugal,France,4,0,loss,Match amical
671,1928-04-29,France,Paris,Parc des Princes,France,Portugal,1,1,draw,Match amical
672,1929-03-24,France,Colombes,Stade olympique Yves-du-Manoir,France,Portugal,2,0,win,Match amical
673,1930-02-23,Portugal,Porto (Campo do Ameal,pt,Portugal,France,2,0,loss,Match amical
674,1940-01-28,France,Paris,Parc des Princes,France,Portugal,3,2,win,Match amical
675,1946-04-14,Portugal,Oeiras,Stade national du Jamor,Portugal,France,2,1,loss,Match amical
676,1947-03-23,France,Colombes,Stade olympique Yves-du-Manoir,France,Portugal,1,0,win,Match amical
677,1947-11-23,Portugal,Oeiras,Stade national du Jamor,Portugal,France,2,4,win,Match amical
678,1952-04-20,France,Colombes,Stade olympique Yves-du-Manoir,France,Portugal,3,0,win,Match amical
679,1957-03-24,Portugal,Oeiras,Stade national du Jamor,Portugal,France,0,1,win,Match amical
680,1959-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Portugal,5,3,win,Match amical
681,1973-03-03,France,Paris,Parc des Princes,France,Portugal,1,2,loss,Match amical
682,1975-04-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Portugal,0,2,loss,Match amical
683,1978-03-08,France,Paris,Parc des Princes,France,Portugal,2,0,win,Match amical
684,1983-02-16,Portugal,Guimarães,Stade D. Afonso Henriques,Portugal,France,0,3,win,Match amical
685,1984-06-23,France,Marseille,stade Vélodrome,France,Portugal,3,2,loss,Euro 1984 (Demi-finale)
686,1996-01-24,France,Paris,Parc des Princes,France,Portugal,3,2,win,Match amical
