,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
0,1997-10-11,France,Lens,Stade Félix-Bollaert,France,Afrique du Sud,2,1,win,Match amical
1,1998-06-12,France,Marseille,Stade Vélodrome,France,Afrique du Sud,3,0,win,Coupe du monde 1998 (Groupe C)
2,2000-10-07,Afrique du Sud,Johannesbourg,Ellis Park Stadium,Afrique du Sud,France,0,0,draw,Coupe du challenge 2000[2] (amical)
3,2010-06-22,Afrique du Sud,Bloemfontein ,Free State Stadium,France,Afrique du Sud,1,2,loss,Coupe du monde 2010 (Groupe A)
4,2022-03-29,France,Villeneuve-d'Ascq,Stade Pierre-Mauroy,France,Afrique du Sud,5,0,win,Match amical
5,1990-11-17,Albanie,Tirana,Stade Qemal-Stafa,Albanie,France,0,1,win,Qualifications pour l'Euro 1992
6,1991-03-30,France,Paris,Parc des Princes,France,Albanie,5,0,win,Qualifications pour l'Euro 1992
7,2011-09-02,Albanie,Tirana,Stade Qemal-Stafa,Albanie,France,1,2,win,Qualifications pour l'Euro 2012
8,2011-10-07,France,Saint-Denis,Stade de France,France,Albanie,3,0,win,Qualifications pour l'Euro 2012
9,2014-11-14,France,Rennes,Stade de la route de Lorient,France,Albanie,1,1,draw,Match amical
10,2015-06-13,Albanie,Elbasan,Elbasan Arena,Albanie,France,1,0,loss,Match amical
11,2016-06-15,France,Marseille,Stade Vélodrome,France,Albanie,2,0,win,Euro 2016 (Groupe A)
12,2019-09-07,France,Saint-Denis,Stade de France,France,Albanie,4,1,win,Qualifications pour l'Euro 2020
13,2019-11-17,Albanie,Tirana,Arena Kombëtare,Albanie,France,0,2,win,Qualifications pour l'Euro 2020
14,1975-09-06,Algérie,Alger,Stade du 5 juillet 1962,Algérie,France,3,2,loss,Jeux méditerranéens de 1975
15,2001-10-06,France,Saint-Denis,Stade de France,France,Algérie,4,1,win,"Match amical[5],"
16,1931-03-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Allemagne,1,0,win,Match amical
17,1933-03-19,Reich allemand,Berlin,Deutsches Stadion,Allemagne,France,3,3,draw,Match amical
18,1935-03-17,France,Paris,Parc des Princes,France,Allemagne,1,3,loss,Match amical
19,1937-03-21,Reich allemand,Stuttgart,Adolf-Hitler-Kampfbahn,Allemagne,France,4,0,loss,Match amical
20,1952-10-05,France,Colombes,Stade olympique Yves-du-Manoir,France,RFA,3,1,win,Match amical
21,1954-10-16,Allemagne de l'Ouest,Hanovre,Niedersachsenstadion,RFA,France,1,3,win,Match amical
22,1958-06-28,Suède,Göteborg,Ullevi,RFA,France,3,6,win,Coupe du monde 1958 (Petite finale)
23,1958-10-26,France,Colombes,Stade olympique Yves-du-Manoir,France,RFA,2,2,draw,Match amical
24,1962-10-24,Allemagne de l'Ouest,Stuttgart,Neckarstadion,RFA,France,2,2,draw,Match amical
25,1967-09-27,Allemagne de l'Ouest,Berlin,Stade olympique,RFA,France,5,1,loss,Match amical
26,1968-09-25,France,Marseille,stade Vélodrome,France,RFA,1,1,draw,Match amical
27,1973-10-13,Allemagne de l'Ouest,Gelsenkirchen,Parkstadion,RFA,France,2,1,loss,Match amical
28,1977-02-23,France,Paris,Parc des Princes,France,RFA,1,0,win,Match amical
29,1980-11-19,Allemagne de l'Ouest,Hanovre,Niedersachsenstadion,RFA,France,4,1,loss,Match amical
30,1982-07-08,Espagne,Séville,Stade Ramón-Sánchez-Pizjuán,RFA,France,3,3,loss,Coupe du monde 1982 (Demi-finale)
31,1984-04-18,France,Strasbourg,Stade de la Meinau,France,RFA,1,0,win,Match amical
32,1986-06-25,Mexique,Guadalajara,Stade Jalisco,RFA,France,2,0,loss,Coupe du monde 1986 (Demi-finale)
33,1987-08-12,Allemagne,Berlin,Stade olympique,RFA,France,2,1,loss,Match amical
34,1990-02-28,France,Montpellier,Stade de la Mosson,France,RFA,2,1,win,Match amical
35,1996-06-01,Allemagne,Stuttgart,Gottlieb-Daimler-Stadion,Allemagne,France,0,1,win,Match amical
36,2001-02-27,France,Saint-Denis,Stade de France,France,Allemagne,1,0,win,Match amical
37,2003-11-15,Allemagne,Gelsenkirchen,Arena AufSchalke,Allemagne,France,0,3,win,Match amical
38,2005-11-12,France,Saint-Denis,Stade de France,France,Allemagne,0,0,draw,Match amical
39,2012-02-29,Allemagne,Brême,Weserstadion,Allemagne,France,1,2,win,Match amical
40,2013-02-06,France,Saint-Denis,Stade de France,France,Allemagne,1,2,loss,Match amical
41,2014-07-04,Brésil,Rio de Janeiro,Stade Maracanã,France,Allemagne,0,1,loss,Coupe du monde 2014 (Quart de finale)
42,2015-11-13,France,Saint-Denis,Stade de France,France,Allemagne,2,0,win,Match amical
43,2016-07-07,France,Marseille,stade Vélodrome,Allemagne,France,0,2,win,Euro 2016 (Demi-finale)
44,2017-11-14,Allemagne,Cologne,RheinEnergieStadion,Allemagne,France,2,2,draw,Match amical
45,2018-09-06,Allemagne,Munich,Allianz Arena,Allemagne,France,0,0,draw,Ligue des nations 2018-2019 (Ligue A-Groupe 1)[6]
46,2018-10-16,France,Saint-Denis,Stade de France,France,Allemagne,2,1,win,Ligue des nations 2018-2019 (Ligue A-Groupe 1)
47,2021-06-15,Allemagne,Munich,Allianz Arena,France,Allemagne,1,0,win,Euro 2020  (Groupe F)
48,2023-09-12,Allemagne,Dortmund,Signal Iduna Park,Allemagne,France,2,1,loss,Match amical
49,1974-11-16,France,Paris,Parc des Princes,France,RDA,2,2,draw,Qualifications pour l'Euro 1976
50,1975-10-10,Allemagne de l'Est,Leipzig,Zentralstadion,RDA,France,2,1,loss,Qualifications pour l'Euro 1976
51,1984-12-08,France,Paris,Parc des Princes,France,RDA,2,0,win,Qualifications pour la Coupe du monde 1986
52,1985-09-11,Allemagne de l'Est,Leipzig,Zentralstadion,RDA,France,2,0,loss,Qualifications pour la Coupe du monde 1986
53,1986-11-19,Allemagne de l'Est,Leipzig,Zentralstadion,RDA,France,0,0,draw,Qualifications pour l'Euro 1988
54,1987-11-18,France,Paris,Parc des Princes,France,RDA,0,1,loss,Qualifications pour l'Euro 1988
55,1990-01-24,Koweït,Koweït (Stade Al-Sadaqua Walsalam,en,France,RDA,3,0,win,Tournoi du Koweït 1990 (amical)
56,1998-10-14,France,Saint-Denis,Stade de France,France,Andorre,2,0,win,Qualifications pour l'Euro 2000
57,1999-06-09,Espagne,Barcelone,Estadi Olímpic de Montjuïc,Andorre,France,0,1,win,Qualifications pour l'Euro 2000
58,2004-05-28,France,Montpellier,Stade de la Mosson,France,Andorre,4,0,win,Match amical
59,2019-06-11,Andorre,Andorre-la-Vieille,Estadi Nacional,Andorre,France,0,4,win,Qualifications pour l'Euro 2020
60,2019-09-10,France,Saint-Denis,Stade de France,France,Andorre,3,0,win,Qualifications pour l'Euro 2020
61,1923-05-10,France,Paris,Stade Pershing,France,Angleterre,1,4,loss,Match amical
62,1924-05-17,France,Paris,Stade Pershing,France,Angleterre,1,3,loss,Match amical
63,1925-05-21,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,2,3,loss,Match amical
64,1927-05-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,0,6,loss,Match amical
65,1928-05-17,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,5,loss,Match amical
66,1929-05-09,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,4,loss,Match amical
67,1931-05-14,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,5,2,win,Match amical
68,1933-12-06,Angleterre,Londres,White Hart Lane,Angleterre,France,4,1,loss,Match amical
69,1938-05-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,2,4,loss,Match amical
70,1945-05-26,Angleterre,Londres,Stade de Wembley,Angleterre,France,2,2,draw,Match amical
71,1946-05-19,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,2,1,win,Match amical
72,1947-05-03,Angleterre,Londres,Arsenal Stadium,Angleterre,France,3,0,loss,Match amical
73,1949-05-22,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,3,loss,Match amical
74,1951-10-03,Angleterre,Londres,Arsenal Stadium,Angleterre,France,2,2,draw,Match amical
75,1955-05-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Angleterre,1,0,win,Match amical
76,1957-11-27,Angleterre,Londres,Stade de Wembley,Angleterre,France,4,0,loss,Match amical
77,1962-10-20,Angleterre,Sheffield,Hillsborough,Angleterre,France,1,1,draw,Qualifications pour l'Euro 1964
78,1963-02-27,France,Paris,Parc des Princes,France,Angleterre,5,2,win,Qualifications pour l'Euro 1964
79,1966-07-20,Angleterre,Londres,Stade de Wembley,Angleterre,France,2,0,loss,Coupe du monde 1966 (Groupe 1)
80,1969-03-12,Angleterre,Londres,Stade de Wembley,Angleterre,France,5,0,loss,Match amical
81,1982-06-16,Espagne,Bilbao (Stade San Mamés,1913,Angleterre,France,3,1,loss,Coupe du monde 1982 (Groupe 4 - 1er tour)
82,1984-02-29,France,Paris,Parc des Princes,France,Angleterre,2,0,win,Match amical
83,1992-02-19,Angleterre,Londres,Stade de Wembley,Angleterre,France,2,0,loss,Match amical
84,1992-06-14,Suède,Malmö,Malmö Stadion,Angleterre,France,0,0,draw,Euro 1992 (Groupe 1)
85,1997-06-07,France,Montpellier,Stade de la Mosson,France,Angleterre,0,1,loss,Tournoi de France 1997 (amical)
86,1999-02-10,Angleterre,Londres,Stade de Wembley,Angleterre,France,0,2,win,Match amical
87,2000-09-02,France,Saint-Denis,Stade de France,France,Angleterre,1,1,draw,Match amical
88,2004-06-13,Portugal,Lisbonne,Estádio da Luz,France,Angleterre,2,1,win,Euro 2004 (Groupe B)
89,2008-03-26,France,Saint-Denis,Stade de France,France,Angleterre,1,0,win,Match amical
90,2010-11-17,Angleterre,Londres,Stade de Wembley,Angleterre,France,1,2,win,Match amical
91,2012-06-11,Ukraine,Donetsk,Donbass Arena,France,Angleterre,1,1,draw,Euro 2012 (Groupe D)
92,2015-11-17,Angleterre,Londres,Stade de Wembley,Angleterre,France,2,0,loss,Match amical
93,2017-06-13,France,Saint-Denis,Stade de France,France,Angleterre,3,2,win,Match amical
94,2022-12-10,Qatar,Al-Khor,Stade Al-Bayt,Angleterre,France,1,2,win,Coupe du monde 2022 (Quart de finale)
95,1906-11-01,France,Paris,Parc des Princes,France,Angleterre amateur,0,15,loss,Match amical
96,1908-03-23,Angleterre,Londres,Royal Park,Angleterre amateur,France,12,0,loss,Match amical
97,1909-05-22,France,Gentilly,Stade de la F.G.S.P.F,France,Angleterre amateur,0,11,loss,Match amical
98,1910-04-16,Angleterre,Brighton,Goldstone Ground,Angleterre amateur,France,10,1,loss,Match amical
99,1911-03-23,France,Saint-Ouen,Stade de Paris,France,Angleterre amateur,0,3,loss,Match amical
100,1913-02-27,France,Colombes,Stade du Matin,France,Angleterre amateur,1,4,loss,Match amical
101,1920-04-05,France,Le Petit-Quevilly,Stade des Bruyères,France,Angleterre amateur,0,5,loss,Match amical
102,1921-05-05,France,Paris,Stade Pershing,France,Angleterre amateur,2,1,win,Match amical
103,1998-06-18,France,Saint-Denis,Stade de France,France,Arabie saoudite,4,0,win,Coupe du monde 1998 (Groupe C)
104,1930-07-15,Uruguay,Montevideo,Estadio Gran Parque Central,Argentine,France,1,0,loss,Coupe du monde 1930 (Groupe 1)
105,1965-06-03,France,Paris,Parc des Princes,France,Argentine,0,0,draw,Match amical
106,1971-01-08,Argentine,Buenos Aires,La Bombonera,Argentine,France,3,4,win,Match amical
107,1971-01-12,Argentine,Mar del Plata (Estadio General San Martin,es,Argentine,France,2,0,loss,Match amical
108,1972-06-25,Brésil,Salvador,Stade Octávio-Mangabeira,Argentine,France,0,0,draw,Coupe de l'Indépendance du Brésil (amical)
109,1974-05-18,France,Paris,Parc des Princes,France,Argentine,0,1,loss,Match amical
110,1977-06-26,Argentine,Buenos Aires,La Bombonera,Argentine,France,0,0,draw,Match amical
111,1978-06-06,Argentine,Buenos Aires,Estadio Monumental Antonio Vespucio Liberti,Argentine,France,2,1,loss,Coupe du monde 1978 (Groupe 1 - 1er tour)
112,1986-03-26,France,Paris,Parc des Princes,France,Argentine,2,0,win,Match amical
113,2007-02-07,France,Saint-Denis,Stade de France,France,Argentine,0,1,loss,Match amical
114,2009-02-11,France,Marseille,stade Vélodrome,France,Argentine,0,2,loss,Match amical
115,2018-06-30,Russie,Kazan,Kazan Arena,France,Argentine,4,3,win,Coupe du monde 2018 (Huitième de finale)
116,2022-12-18,Qatar,Lusail,Stade de Lusail,Argentine,France,3,3,loss,Coupe du monde 2022 (Finale)
117,1996-06-05,France,Villeneuve-d'Ascq,Stadium Nord,France,Arménie,2,0,win,Match amical
118,1999-03-31,France,Saint-Denis,Stade de France,France,Arménie,2,0,win,Qualifications pour l'Euro 2000
119,1999-09-08,Arménie,Erevan,Stade Hrazdan,Arménie,France,2,3,win,Qualifications pour l'Euro 2000
120,2014-10-14,Arménie,Erevan,Stade Républicain Vazgen-Sargsian,Arménie,France,0,3,win,Match amical
121,2015-10-08,France,Nice,Allianz Riviera,France,Arménie,4,0,win,Match amical
122,1994-05-26,Japon,Kobe,Stade du Mémorial de l'Universiade,Australie,France,0,1,win,Coupe Kirin 1994 (Amical)
123,2001-06-01,Corée du Sud,Daegu,Stade de la Coupe du monde de Daegu,Australie-,France,1,0,loss,Coupe des confédérations 2001 (Groupe A)
124,2001-11-11,Australie,Melbourne,Melbourne Cricket Ground,Australie,France,1,1,draw,Match amical
125,2013-10-11,France,Paris,Parc des Princes,France,Australie,6,0,win,Match amical
126,2018-06-16,Russie,Kazan,Kazan Arena,France,Australie,2,1,win,Coupe du monde 2018 (Groupe C)
127,2022-11-22,Qatar,Al Wakrah,Stade Al-Janoub,France,Australie,4,1,win,Coupe du monde 2022 (Groupe D)
128,1925-04-19,France,Paris,Stade Pershing,France,Autriche,0,4,loss,Match amical
129,1926-05-30,Autriche,Vienne,Simmeringer Sportplatz,Autriche,France,4,1,loss,Match amical
130,1933-02-12,France,Paris,Parc des Princes,France,Autriche,0,4,loss,Match amical
131,1934-05-27,Italie,Turin,Stade olympique de Turin,Autriche,France,3,2,loss,Coupe du monde 1934 (Huitième de finale)
132,1937-01-24,France,Paris,Parc des Princes,France,Autriche,1,2,loss,Match amical
133,1945-12-06,Autriche,Vienne,Praterstadion,Autriche,France,4,1,loss,Match amical
134,1946-05-05,France,Colombes,Stade olympique Yves-du-Manoir,France,Autriche,3,1,win,Match amical
135,1951-11-01,France,Colombes,Stade olympique Yves-du-Manoir,France,Autriche,2,2,draw,Match amical
136,1952-10-19,Autriche,Vienne,Praterstadion,Autriche,France,1,2,win,Match amical
137,1956-03-25,France,Colombes,Stade olympique Yves-du-Manoir,France,Autriche,3,1,win,Match amical
138,1958-10-05,Autriche,Vienne,Praterstadion,Autriche,France,1,2,win,Match amical
139,1959-12-13,France,Colombes,Stade olympique Yves-du-Manoir,France,Autriche,5,2,win,Qualifications pour l'Euro 1960
140,1960-03-27,Autriche,Vienne,Praterstadion,Autriche,France,2,4,win,Qualifications pour l'Euro 1960
141,1965-03-24,France,Paris,Parc des Princes,France,Autriche,1,2,loss,Match amical
142,1970-10-07,Autriche,Vienne,Praterstadion,Autriche,France,1,0,loss,Match amical
143,1982-06-28,Espagne,Madrid,Stade Vicente Calderón,France,Autriche,1,0,win,Coupe du monde 1982 (Groupe D - Second tour)
144,1984-03-28,France,Bordeaux,Parc Lescure,France,Autriche,1,0,win,Match amical
145,1992-10-14,France,Paris,Parc des Princes,France,Autriche,2,0,win,Qualifications pour la Coupe du monde 1994
146,1993-03-27,Autriche,Vienne,Stade Ernst-Happel,Autriche,France,0,1,win,Qualifications pour la Coupe du monde 1994
147,1998-08-19,Autriche,Vienne,Stade Ernst-Happel,Autriche,France,2,2,draw,Match amical
148,2007-03-28,France,Saint-Denis,Stade de France,France,Autriche,1,0,win,Match amical
149,2008-09-06,Autriche,Vienne,Stade Ernst-Happel,Autriche,France,3,1,loss,Qualifications pour la Coupe du monde 2010
150,2009-10-14,France,Saint-Denis,Stade de France,France,Autriche,3,1,win,Qualifications pour la Coupe du monde 2010
151,1994-12-13,Turquie,Trabzon,Stade Hüseyin Avni Aker,Azerbaïdjan,France,0,2,win,Qualifications pour l'Euro 1996
152,1995-09-06,France,Auxerre,Stade de l'Abbé-Deschamps,France,Azerbaïdjan,10,0,win,Qualifications pour l'Euro 1996
153,1904-05-01,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,3,3,draw,Match amical
154,1905-05-07,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,7,0,loss,Match amical
155,1906-04-22,France,Saint-Cloud,Stade de la Faisanderie,France,Belgique,0,5,loss,Match amical
156,1907-04-21,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,1,2,win,Match amical
157,1908-04-12,France,Colombes,Stade du Matin,France,Belgique,1,2,loss,Match amical
158,1909-05-08,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,5,2,loss,Match amical
159,1910-04-03,France,Gentilly,Stade de la F.G.S.P.F,France,Belgique,0,4,loss,Match amical
160,1911-04-30,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,7,1,loss,Match amical
161,1912-01-28,France,Saint-Ouen,Stade de Paris,France,Belgique,1,1,draw,Match amical
162,1913-02-16,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,3,0,loss,Match amical
163,1914-01-25,France,Lille,Stade Victor-Boucquey,France,Belgique,4,3,win,Match amical
164,1919-03-09,Belgique,Uccle,Stade du Vivier d'Oie,Belgique,France,2,2,draw,Match amical
165,1920-03-28,France,Paris,Parc des Princes,France,Belgique,2,1,win,Match amical
166,1921-03-06,Belgique,Bruxelles,Stade Joseph Marien,Belgique,France,3,1,loss,Match amical
167,1922-01-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,2,1,win,Match amical
168,1923-02-25,Belgique,Bruxelles,Stade Joseph Marien,Belgique,France,4,1,loss,Match amical
169,1924-01-13,France,Montrouge,Stade Buffalo,France,Belgique,2,0,win,Match amical
170,1924-11-11,Belgique,Molenbeek,Stade Edmond Machtens,Belgique,France,3,0,loss,Match amical
171,1926-04-11,France,Paris,Stade Pershing,France,Belgique,4,3,win,Match amical
172,1926-06-20,Belgique,Molenbeek,Stade Edmond Machtens,Belgique,France,2,2,draw,Match amical
173,1928-04-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,2,3,loss,Match amical
174,1929-05-26,Belgique,Rocourt,Stade Vélodrome de Rocourt,Belgique,France,4,1,loss,Match amical
175,1930-04-13,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,1,6,loss,Match amical
176,1930-05-25,Belgique,Ougrée,Stade du Pont d'Ougrée,Belgique,France,1,2,win,Match amical
177,1930-12-07,France,Montrouge,Stade Buffalo,France,Belgique,2,2,draw,Match amical
178,1932-05-01,Belgique,Bruxelles,Stade du Heysel,Belgique,France,5,2,loss,Match amical
179,1933-03-26,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,3,0,win,Match amical
180,1934-01-21,Belgique,Bruxelles,Stade du Heysel,Belgique,France,2,3,win,Match amical
181,1935-04-14,Belgique,Bruxelles,Stade du Heysel,Belgique,France,1,1,draw,Match amical
182,1936-03-08,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,3,0,win,Match amical
183,1937-02-21,Belgique,Bruxelles,Stade du Heysel,Belgique,France,3,1,loss,Match amical
184,1938-01-30,France,Paris,Parc des Princes,France,Belgique,5,3,win,Match amical
185,1938-06-05,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,3,1,win,Coupe du monde 1938 (huitième de finale)
186,1939-05-18,Belgique,Bruxelles,Stade du Heysel,Belgique,France,1,3,win,Match amical
187,1944-12-24,France,Paris,Parc des Princes,France,Belgique,3,1,win,Match amical
188,1945-12-15,Belgique,Molenbeek,Stade Edmond Machtens,Belgique,France,2,1,loss,Match amical
189,1947-06-01,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,4,2,win,Match amical
190,1948-06-06,Belgique,Bruxelles,Stade du Heysel,Belgique,France,4,2,loss,Match amical
191,1948-10-17,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,3,3,draw,Match amical
192,1950-06-04,Belgique,Bruxelles,Stade du Heysel,Belgique,France,4,1,loss,Match amical
193,1950-11-01,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,3,3,draw,Match amical
194,1952-05-22,Belgique,Bruxelles,Stade du Heysel,Belgique,France,1,2,win,Match amical
195,1952-12-25,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,0,1,loss,Match amical
196,1954-05-30,Belgique,Bruxelles,Stade du Heysel,Belgique,France,3,3,draw,Match amical
197,1954-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,2,2,draw,Match amical
198,1955-12-25,Belgique,Bruxelles,Stade du Heysel,Belgique,France,2,1,loss,Match amical
199,1956-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,6,3,win,Qualifications pour la Coupe du monde 1958
200,1957-10-27,Belgique,Bruxelles,Stade du Heysel,Belgique,France,0,0,draw,Qualifications pour la Coupe du monde 1958
201,1959-03-01,France,Colombes,Stade olympique Yves-du-Manoir,France,Belgique,2,2,draw,Match amical
202,1960-02-28,Belgique,Bruxelles,Stade du Heysel,Belgique,France,1,0,loss,Match amical
203,1961-03-15,France,Paris,Parc des Princes,France,Belgique,1,1,draw,Match amical
204,1961-10-18,Belgique,Bruxelles,Stade du Heysel,Belgique,France,3,0,loss,Match amical
205,1963-12-25,France,Paris,Parc des Princes,France,Belgique,1,2,loss,Match amical
206,1964-12-02,Belgique,Bruxelles,Stade du Heysel,Belgique,France,3,0,loss,Match amical
207,1966-04-20,France,Paris,Parc des princes,France,Belgique,0,3,loss,Match amical
208,1966-11-11,Belgique,Bruxelles,Stade du Heysel,Belgique,France,2,1,loss,Qualifications pour l'Euro 1968
209,1967-10-28,France,Nantes,Stade Marcel-Saupin,France,Belgique,1,1,draw,Qualifications pour l'Euro 1968
210,1970-11-15,Belgique,Bruxelles,Stade du Heysel,Belgique,France,1,2,win,Match amical
211,1974-10-12,Belgique,Bruxelles,Stade du Heysel,Belgique,France,2,1,loss,Qualifications pour l'Euro 1976
212,1975-11-15,France,Paris,Parc des Princes,France,Belgique,0,0,draw,Qualifications pour l'Euro 1976
213,1981-04-29,France,Paris,Parc des Princes,France,Belgique,3,2,win,Qualifications pour la Coupe du monde 1982
214,1981-09-09,Belgique,Bruxelles,Stade du Heysel,Belgique,France,2,0,loss,Qualifications pour la Coupe du monde 1982
215,1983-05-31,Luxembourg,Luxembourg,Stade Josy-Barthel,Belgique,France,1,1,draw,Match amical
216,1984-06-16,France,Nantes,Stade de la Beaujoire,France,Belgique,5,0,win,Euro 1984 (Groupe 1)
217,1986-06-28,Mexique,Puebla,Stade Cuauhtémoc,France,Belgique,4,2,win,Coupe du monde 1986 (petite finale)
218,1992-03-25,France,Paris,Parc des Princes,France,Belgique,3,3,draw,Match amical
219,1996-03-27,Belgique,Bruxelles,Stade Roi Baudouin,Belgique,France,0,2,win,Match amical
220,1998-05-27,Maroc,Casablanca,Stade Mohammed-V,France,Belgique,1,0,win,Tournoi Hassan II 1998 (amical)
221,2002-05-18,France,Saint-Denis,Stade de France,France,Belgique,1,2,loss,Match amical
222,2004-02-18,Belgique,Bruxelles,Stade Roi Baudouin,Belgique,France,0,2,win,Match amical
223,2011-11-15,France,Saint-Denis,Stade de France,France,Belgique,0,0,draw,Match amical
224,2013-08-14,Belgique,Bruxelles,Stade Roi Baudouin,Belgique,France,0,0,draw,Match amical
225,2015-06-07,France,Saint-Denis,Stade de France,France,Belgique,3,4,loss,Match amical
226,2018-07-10,Russie,Saint-Pétersbourg,Stade de Saint-Pétersbourg,France,Belgique,1,0,win,Coupe du monde 2018 (Demi-finale)
227,2021-10-07,Italie,Turin,Juventus Stadium,Belgique,France,2,3,win,Ligue des nations 2020-2021 (Demi-finale)
228,2010-09-03,France,Saint-Denis,Stade de France,France,Biélorussie,0,1,loss,Qualifications pour l'Euro 2012
229,2011-06-03,Biélorussie,Minsk,Stade Dinamo de Minsk,Biélorussie,France,1,1,draw,Qualifications pour l'Euro 2012
230,2012-09-11,France,Saint-Denis,Stade de France,France,Biélorussie,3,1,win,Qualifications pour la Coupe du monde 2014
231,2013-09-10,Biélorussie,Gomel,Stade central,Biélorussie,France,2,4,win,Qualifications pour la Coupe du monde 2014
232,2016-09-06,Biélorussie,Borisov,Borisov Arena,Biélorussie,France,0,0,draw,Qualifications pour la Coupe du monde 2018
233,2017-10-10,France,Saint-Denis,Stade de France,France,Biélorussie,2,1,win,Qualifications pour la Coupe du monde 2018
234,2019-06-02,France,Nantes,Stade de la Beaujoire,France,Bolivie,2,0,win,Match amical
235,2004-08-18,France,Rennes,Stade de la route de Lorient,France,Bosnie-Herzégovine,1,1,draw,Match amical
236,2006-08-16,Bosnie-Herzégovine,Sarajevo,Olimpijski stadion Koševo,Bosnie-Herzégovine,France,1,2,win,Match amical
237,2010-09-07,Bosnie-Herzégovine,Sarajevo,Stade Asim Ferhatović Hase,Bosnie-Herzégovine,France,0,2,win,Qualifications pour l'Euro 2012
238,2011-10-11,France,Saint-Denis,Stade de France,France,Bosnie-Herzégovine,1,1,draw,Qualifications pour l'Euro 2012
239,2021-03-31,Bosnie-Herzégovine,Sarajevo,Stade Grbavica,Bosnie-Herzégovine,France,0,1,win,Qualifications pour la Coupe du monde 2022
240,2021-09-01,France,Strasbourg,Stade de la Meinau,France,Bosnie-Herzégovine,1,1,draw,Qualifications pour la Coupe du monde 2022
241,1963-04-28,France,Colombes,Stade olympique Yves-du-Manoir,France,Brésil,2,3,loss,Match amical
242,1977-06-30,Brésil,Rio de Janeiro,Stade Maracanã,Brésil,France,2,2,draw,Match amical
243,1978-04-01,France,Paris,Parc des Princes,France,Brésil,1,0,win,Match amical
244,1981-05-15,France,Paris,Parc des Princes,France,Brésil,1,3,loss,Match amical
245,1986-06-21,Mexique,Guadalajara,Stade Jalisco,Brésil,France,1,1,win,Coupe du monde 1986 (Quart de finale)
246,1992-08-26,France,Paris,Parc des Princes,France,Brésil,0,2,loss,Match amical
247,1997-06-03,France,Lyon,Stade de Gerland,France,Brésil,1,1,draw,Tournoi de France 1997 (amical)
248,1998-07-12,France,Saint-Denis,Stade de France,Brésil,France,0,3,win,Coupe du monde 1998 (Finale)
249,2001-06-07,Corée du Sud,Suwon,Stade de la Coupe du monde de Suwon,France,Brésil,2,1,win,Coupe des confédérations 2001 (Demi-finale)
250,2004-05-20,France,Saint-Denis,Stade de France,France,Brésil,0,0,draw,Match amical (Centenaire FIFA)
251,2006-07-01,Allemagne,Francfort-sur-le-Main,Commerzbank-Arena,Brésil,France,0,1,win,Coupe du monde 2006 (Quart de finale)
252,2011-02-09,France,Saint-Denis,Stade de France,France,Brésil,1,0,win,Match amical
253,2013-06-09,Brésil,Porto Alegre,Arena do Grêmio,Brésil,France,3,0,loss,Match amical
254,2015-03-26,France,Saint-Denis,Stade de France,France,Brésil,1,3,loss,Match amical
255,1932-06-09,Bulgarie,Sofia (Stade Younak,en,Bulgarie,France,3,5,win,Match amical
256,1938-03-24,France,Paris,Parc des Princes,France,Bulgarie,6,1,win,Match amical
257,1957-12-25,France,Paris,Parc des Princes,France,Bulgarie,2,2,draw,Match amical
258,1959-10-11,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,1,0,loss,Match amical
259,1960-12-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Bulgarie,3,0,win,Qualifications pour la Coupe du monde 1962
260,1961-11-12,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,1,0,loss,Qualifications pour la Coupe du monde 1962
